generation,best_fitness,mean_fitness,best_macro_f1_val,best_recall_high_val,best_interpretability_penalty,best_deviation_penalty
74,0.4089275185621254,0.4087578543360796,0.5042042612066528,0.275,1.3401163623048563e-12,0.01797519080799165
75,0.4089275185621254,0.4087879322130672,0.5042042612066528,0.275,1.3401163623048563e-12,0.01797519080799165
76,0.4089288029318769,0.4088081432720469,0.5042042612066528,0.275,1.6876894114933744e-12,0.01796876895888633
77,0.40896685407708067,0.4088390050102371,0.5042042612066528,0.275,0.0,0.017778513234555374
78,0.40896685407708067,0.40887129525164717,0.5042042612066528,0.275,0.0,0.017778513234555374
79,0.4089669289283155,0.40889441524475845,0.5042042612066528,0.275,0.0,0.017778138978381222
80,0.4089956466895614,0.40892854335170437,0.5042042612066528,0.275,0.0,0.017634550172151594
81,0.4089956466895614,0.4089409348894589,0.5042042612066528,0.275,0.0,0.017634550172151594
82,0.4090094734391744,0.4089548063455682,0.5042042612066528,0.275,0.0,0.01756541642408672
83,0.40902461065176243,0.4089653810831136,0.5042042612066528,0.275,0.0,0.017489730361146448
84,0.40907141965094973,0.40898097109620957,0.5042042612066528,0.275,0.0,0.01725568536520997
85,0.40907141965094973,0.40899580113375855,0.5042042612066528,0.275,0.0,0.01725568536520997
86,0.40907704797158884,0.40900568390673653,0.5042042612066528,0.275,0.0,0.01722754376201446
87,0.4090936782434455,0.40902320316246765,0.5042042612066528,0.275,6.50931850031836e-14,0.017144392402666096
88,0.4091352367700956,0.4090423440630832,0.5042042612066528,0.275,0.0,0.016936599769480656
89,0.4091352367700956,0.4090574361207265,0.5042042612066528,0.275,0.0,0.016936599769480656
90,0.4091352367700956,0.40907316043474257,0.5042042612066528,0.275,0.0,0.016936599769480656
91,0.4091556923974572,0.4090861603016818,0.5042042612066528,0.275,0.0,0.01683432163267266
92,0.40917997860818306,0.4091027834545288,0.5042042612066528,0.275,0.0,0.01671289057904345
93,0.40923171631554445,0.4091263148997293,0.5042042612066528,0.275,0.0,0.016454202042236365
94,0.40934071479586825,0.4091513326790624,0.5042042612066528,0.275,0.0,0.015909209640617553
95,0.40934071479586825,0.40916798420805234,0.5042042612066528,0.275,0.0,0.015909209640617553
96,0.40934071479586825,0.4091779409848829,0.5042042612066528,0.275,0.0,0.015909209640617553
97,0.40934071479586825,0.40919928341319717,0.5042042612066528,0.275,0.0,0.015909209640617553
98,0.40934071479586825,0.4092085605533546,0.5042042612066528,0.275,0.0,0.015909209640617553
99,0.40934071479586825,0.40922131824166436,0.5042042612066528,0.275,0.0,0.015909209640617553
100,0.40934071479586825,0.40923104937507804,0.5042042612066528,0.275,0.0,0.015909209640617553
101,0.40934071479586825,0.4092453309464982,0.5042042612066528,0.275,0.0,0.015909209640617553
102,0.40934071479586825,0.4092636978127587,0.5042042612066528,0.275,0.0,0.015909209640617553
103,0.4093438368681665,0.4092797107577998,0.5042042612066528,0.275,0.0,0.015893599279126154
104,0.4093438368681665,0.4092911037784404,0.5042042612066528,0.275,0.0,0.015893599279126154
105,0.40937701260662995,0.4093073748780356,0.5042042612066528,0.275,0.0,0.01572772058680886
106,0.4094040917932814,0.40932498274443013,0.5042042612066528,0.275,1.132392425443198e-13,0.015592324653438423
107,0.4094452529273168,0.409339997043367,0.5042042612066528,0.275,1.836839130734994e-13,0.015386518983191013
108,0.4094452529273168,0.40935407694551285,0.5042042612066528,0.275,1.836839130734994e-13,0.015386518983191013
109,0.4094575436561682,0.40937349609518847,0.5042042612066528,0.275,4.040140541804791e-15,0.01532506533911358
